StName,Instances,Lat,Long
whitbarrow village,14,54.64797836,-2.922192051
witherslack,14,54.25289547,-2.867302621
birker force,13,54.38431575,-3.255075339
black comb,13,54.2578,-3.3293
bowfell links,13,54.44814433,-3.164480721
bowness,13,54.36331,-2.91859
brathay bridge,13,54.42252298,-2.977544039
brownrigg well,13,54.53028096,-3.027721485
crook,13,54.42824823,-3.348920062
dale head,13,54.52871736,-3.197682249
falcon crag,13,54.57438852,-3.121661593
flookburgh,13,54.17397136,-2.969609334
goldrill beck,13,54.54100646,-2.939722956
grisdale beck,13,54.51965869,-2.969220794
grisedale tarn,13,54.50345166,-3.011603205
high cross,13,54.2782,-3.1586
lampleugh cross,13,54.5659,-3.4306
lowther bridge,13,54.64664794,-2.73914976
penrith beacon,13,54.67519654,-2.744010531
rothay bridge,13,54.4265,-2.9693
saint sunday's beck,13,54.30199952,-2.688333025
sizer castle,13,54.284,-2.7715
sprinkling tarn,13,54.47480136,-3.196106482
thrang crag wood,13,54.31392582,-3.099191618
warton,13,54.14386784,-2.769127316
barton hall,12,54.62189904,-2.814589103
brough castle,12,54.521293,-2.324295
bull crag,12,54.48452651,-3.119200559
castlehead wood,12,54.594109,-3.131018
conishead,12,54.173,-3.0677
corby castle,12,54.88240875,-2.818413258
croglin,12,54.82045093,-2.661507847
crossfell,12,54.70442894,-2.488892045
crow holm,12,54.3541,-2.9401
dent,12,54.27775,-2.45476
embleton,12,54.66455927,-3.283308584
ennerdale and kinniside cp,12,54.50558663,-3.352273809
hayeswater,12,54.50101241,-2.880125906
lancaster and fleetwood co const,12,54.0044328,-2.766793559
low leathes,12,54.73374954,-3.35905076
mosedale beck,12,54.460859,-3.266121
muncaster,12,54.35736,-3.380332
"nab, the",12,54.5314952,-2.873198572
newton,12,54.13579986,-3.180009512
papcastle,12,54.67050233,-3.38795545
pavey ark,12,54.46669575,-3.103282688
"peel wyke, wythop",12,54.66595069,-3.237193528
ponsonby,12,54.43598052,-3.457115297
robinson,12,54.54151323,-3.233424945
steeple,12,54.49333397,-3.302532186
swarthmoor hall,12,54.18633195,-3.102066835
walney,12,54.107,-3.255
wanthwaite crags,12,54.59305334,-3.044780211
whinfell park,12,54.652038,-2.687445
wray castle,12,54.39598916,-2.962744151
wythop woods,12,54.65,-3.2299
birkrigg,11,54.165247,-3.110039
brampton beck,11,54.60720765,-2.493146323
brothers water,11,54.50419131,-2.918951147
cartmel fell,11,54.28519073,-2.894482243
gleaston,11,54.12823332,-3.135938542
goat tarn,11,54.36860324,-3.131263122
high wray,11,54.38945952,-2.964362631
holme beck,11,54.19831096,-2.757452333
holy well,11,54.15345985,-2.941792945
ireby,11,54.73554377,-3.18824244
kirby lonsdale cockpit hill,11,54.20509,-2.59817
knock,11,54.64881252,-2.489679917
levens hall,11,54.26251034,-2.775378175
lingmell,11,54.4628,-3.2213
low fell,11,54.59015844,-3.338787164
"norfolk island, patterdale",11,54.557974,-2.942444
red tarn beck,11,54.53564402,-2.999030868
rydal park,11,54.44728712,-2.971502676
seathwaite bridge,11,54.36118136,-3.183538061
sharp edge,11,54.64697108,-3.046162665
sour milk gill,11,54.50175943,-3.196893715
staveley,11,54.3766,-2.8179
wallabarrow crag,11,54.3599,-3.1987
yewdale crag,11,54.383555,-3.068542713
arthur's round table,10,54.6484,-2.7407
brantwood,10,54.35028393,-3.053999455
broadness,10,54.6565,-3.2067
clifton moor railway station,10,54.62861,-2.71146
dalegarth hall,10,54.3929776,-3.286147248
dove crag,10,54.48585697,-2.96485428
farleton,10,54.10145619,-2.650013216
fellfoot,10,54.38802753,-2.823946123
hartshope,10,54.4953,-2.9033
holme island,10,54.19886023,-2.881501513
how hall fm,10,54.5355469,-3.398829394
kirkfell crags,10,54.49230616,-3.242940504
linthwaite pike,10,54.6401,-3.0499
little mell fell,10,54.61226362,-2.890412638
low lowood,10,54.82898867,-2.739489668
mosses,10,54.57992698,-3.446772951
newfield,10,54.3537,-3.19
penrith castle,10,54.6603,-2.75583
river eamont,10,54.6398719,-2.798038185
rydal fell,10,54.47323305,-2.986005869
sandwicke,10,54.57029757,-2.893219378
scales tarn,10,54.64697108,-3.046162665
shap abbey,10,54.53094863,-2.699970287
stanley gill,10,54.38428065,-3.271820069
stockley bridge,10,54.48393916,-3.180935392
storrs hall,10,54.137408,-2.650576037
wall end,10,54.43985824,-3.103930122
appleby castle,9,54.5724,-2.4888
backbarrow,9,54.25408583,-2.987146227
boot,9,54.4,-3.26667
bootle,9,54.28110884,-3.367536534
burnmoor tarn,9,54.42924547,-3.25644824
chapel island,9,54.17068028,-3.034107479
colwith,9,54.42244228,-3.025021429
crinkle crags,9,54.43930572,-3.148809028
derwent fells,9,54.54668925,-3.198208663
devoke water,9,54.35686926,-3.300409308
dove nest,9,54.41408472,-2.94775696
duddon bridge,9,54.2856276,-3.236709373
egremont castle,9,54.4798,-3.52992
friar's crag,9,54.5922163,-3.137630072
green crag,9,54.37564582,-3.224016424
hampsfell,9,54.20590361,-2.922900359
harrop tarn,9,54.51204164,-3.058159823
hay stacks,9,54.51027785,-3.243486074
high cark,9,54.23434469,-2.943633716
lindal in furness,9,54.16971191,-3.14132584
lowther park,9,54.60426563,-2.714587092
newby,9,54.58500679,-2.632510352
pelter bridge,9,54.4449,-2.9792
rothay,9,54.4633,-3.0226
scandale fell,9,54.46800565,-2.94900279
seascale,9,54.39966451,-3.486641009
seathwaite tarn,9,54.37917406,-3.148515443
sedgwick,9,54.26667,-2.75
stainton,9,54.14190742,-3.152628286
ullock,9,54.59808097,-3.431935104
ullswater hotel,9,54.54543049,-2.948636082
vicarage fm,9,54.80173528,-2.78566613
windermere railway station,9,54.37939,-2.90326
yanwath hall,9,54.64632,-2.76441
yewdale beck,9,54.37724386,-3.054689994
abbot hall,8,54.17155322,-2.926883112
allonby,8,54.77384741,-3.425947698
arnside tower,8,54.18121297,-2.835153265
barf ,8,54.62750526,-3.21743785
birks,8,54.31776717,-2.530420622
biscot how,8,54.3659,-2.9142
black sail hut,8,54.50129201,-3.243213214
blelham tarn,8,54.39586539,-2.97814559
butterlip how,8,54.4623,-3.0259
buttermere (vale),8,54.53084556,-3.265555914
carrock fell,8,54.69216628,-3.01629207
chapel stile,8,54.44028369,-3.040888006
coddale,8,54.4697,-3.0878
crag of blea moor,8,54.23754398,-2.345254278
dalehead hall (hotel),8,54.54798717,-3.059089959
dalston,8,54.83794654,-2.984754201
distington,8,54.59650985,-3.538002896
dockray,8,54.58603144,-2.939185667
drigg,8,54.37812925,-3.435517762
dunnerdale,8,54.3532,-3.1786
eskdale,8,54.3879,-3.3244
fleetwith pike,8,54.51942155,-3.228312624
grisedale,8,54.4991,-3.0082
hallin fell,8,54.56744258,-2.87396669
halsteads,8,54.15617645,-2.482408319
hutton moor end,8,54.63850415,-2.983961255
hutton st john,8,54.6346,-2.8695
ill bell,8,54.45959977,-2.871667406
ings,8,54.37882631,-2.854557397
keppel cove,8,54.5394,-3.0125
lady holm,8,54.3693,-2.9278
langstreth,8,54.47817983,-3.138915994
latterbarrow beck,8,54.48653286,-3.423943348
leven's bridge,8,54.2602,-2.775
lingmell beck,8,54.47433441,-3.242395534
little salkeld,8,54.7195103,-2.671950789
low hesket,8,54.80966633,-2.830971014
lowick,8,54.26913154,-3.082642082
naddle fell,8,54.58213131,-3.073733976
nan bield pass,8,54.47779244,-2.84118431
nether wasdale,8,54.42,-3.35
plumpton foot,8,54.74771352,-2.800157335
ponsonby old hall,8,54.43598052,-3.457115297
rampsbeck hotel,8,54.60089054,-2.850701182
red screes,8,54.47125,-2.93376
river gilpin,8,54.30437481,-2.840445358
santon bridge,8,54.4017557,-3.36947453
scarness,8,54.66350511,-3.201644547
serjeant crag,8,54.49270057,-3.123880701
souther fell,8,54.6492,-3.0058
stake pass,8,54.46641015,-3.13413713
tarn crag,8,54.47595992,-3.072662796
tarn hows,8,54.389593,-3.033998
tongue beck,8,54.32761168,-3.270378827
"wallowbarrow crag, ulpha",8,54.35986295,-3.198735
arlecdon,7,54.56158343,-3.477058692
arnside knott,7,54.19020045,-2.835334426
birker moor,7,54.3663,-3.2743
blake fell,7,54.56285634,-3.36882825
bleaberry tarn,7,54.5279277,-3.274931494
blowick,7,54.5490066,-2.935420119
broughton mills,7,54.30406399,-3.191150711
copeland forest,7,54.45554551,-3.318962783
esthwaite,7,54.3559,-2.984
ferney green,7,54.36040071,-2.915738676
great corby,7,54.88240875,-2.818413258
high hesket,7,54.79394667,-2.814378231
high row end,7,54.6208,-3.0686
high skelgill,7,54.81256523,-2.412387382
hindscarth,7,54.53754927,-3.213398923
hornby castle,7,54.11144,-2.63237
kirk fell,7,54.62676949,-3.278021056
kirkby stephen,7,54.47123244,-2.347219012
ling holme,7,54.33424337,-2.946535057
lorton vale,7,54.61745319,-3.308706047
lowick hall,7,54.26000604,-3.0977568
muncaster castle,7,54.35601592,-3.377332671
pennines,7,54.3595,-3.1393
plumpton,7,54.72633651,-2.785589486
plumpton wall,7,54.71667,-2.76667
rawlinson nab,7,54.3332024,-2.9458959
river ehen,7,54.4734528,-3.470966117
scareness,7,54.6635,-3.2016
seatallan,7,54.46436178,-3.33467701
sebergham,7,54.76667239,-2.991919145
sedbergh,7,54.32219665,-2.526481836
smaithwaite bridge,7,54.56652309,-3.060176893
st herbert's island,7,54.58323024,-3.137379682
the carrs,7,54.39813843,-3.125298351
thirlspot,7,54.54798717,-3.059089959
under crag,7,54.34074435,-3.115290962
undercrag,7,54.66546338,-2.984612802
westward,7,54.79252816,-3.129512638
wildbore fell,7,54.3785,-2.9007
workington hall,7,54.64452,-3.5392
yanwath,7,54.6372,-2.7438
yew tree fm,7,54.60176847,-3.075967597
yewdale,7,54.3823,-3.0717
borwick lodge,6,54.38671565,-3.014728101
brandelhow park,6,54.57412879,-3.161701326
bridekirk,6,54.68864918,-3.373058924
broad crag,6,54.45682925,-3.195582382
buckbarrow beck,6,54.31160487,-3.329728474
caernarvon castle,6,54.45165,-3.51036
castle carrock,6,54.89142954,-2.711977593
castrigg,6,54.59651664,-2.503077985
cockermouth castle,6,54.66506,-3.36229
cold fell,6,54.47192101,-3.458392467
cumbria county,6,54.61269614,-2.911176216
dallam tower,6,54.22656024,-2.774704304
duddon grove,6,54.29475077,-3.238328544
dufton,6,54.6235424,-2.487921679
farleton knot,6,54.218,-2.6979
fells of borrowdale,6,54.5014,-3.1581
finsthwaite,6,54.27903569,-2.975376102
glencoyne beck,6,54.5608,-2.9487
green bank,6,54.21637038,-2.943223872
greenodd,6,54.23613543,-3.056582385
greenup gill,6,54.49607462,-3.114577335
grisdale pike,6,54.32733313,-2.376762067
hall dunnerdale,6,54.349214,-3.206612762
hardknot castle,6,54.4029,-3.2062
helton,6,54.59523417,-2.75072744
hutton john,6,54.63455,-2.86984
ings chappel,6,54.3783,-2.8175
levens park,6,54.26260809,-2.760025661
measand beck,6,54.52588684,-2.820081612
miterdale forest,6,54.40146238,-3.332633779
newland hawse,6,54.5463,-3.2506
old penrith,6,54.73799996,-2.788960641
rose castle,6,54.38649561,-3.024125363
skelgill,6,54.57394952,-3.168064685
skiddaw forest,6,54.65526312,-3.123888159
small water,6,54.48205388,-2.842352377
soulby fell,6,54.61259631,-2.843962076
stable hills,6,54.58323024,-3.137379682
stickle pike,6,54.32188376,-3.207042573
temple sowerby,6,54.64103158,-2.596605829
threlkeld hall,6,54.6220695,-3.038853949
thurstain water,6,54.3361,-3.0765
"tirril, sockbridge and tirril",6,54.63279035,-2.77081081
vale of ennerdale,6,54.5251,-3.3797
wansfell holme,6,54.4158604,-2.95658213
wray,6,54.10169525,-2.604132854
yewdale bridge,6,54.36943001,-3.070176897
aaron crags,5,54.4830954,-3.188446184
aira bridge,5,54.5719,-2.927
allan bank,5,54.45838873,-3.025919467
allithwaite,5,54.18042159,-2.942405529
alston,5,54.81245551,-2.443509957
appleby,5,54.477,-2.4899
applethwaite common,5,54.41455262,-2.886122684
armathwaite hall (hotel),5,54.68116488,-3.233191334
bank ground,5,54.35927058,-3.054229508
bardsey,5,54.1619,-3.072
barton bridge,5,54.6121,-2.8221
basenthwaite halls,5,54.68,-3.194
beckfoot,5,54.8332,-3.4133
belle grange bay,5,54.37813716,-2.946928687
benson knott,5,54.34386785,-2.699985729
black hall,5,54.40306388,-3.178610544
blawith,5,54.28696599,-3.09847362
boredale,5,54.55211784,-2.896687262
borrowdale fells,5,54.51119524,-3.150825453
bowscale tarn,5,54.67406273,-3.031349451
brant fell,5,54.36040071,-2.915738676
brotherswater,5,54.5064,-2.938
buttermere (village),5,54.54061497,-3.276678463
castle rigg,5,54.60260296,-3.095945543
coat how,5,54.4453,-2.9838
crackenthorpe,5,54.59294109,-2.526151869
dale head house,5,54.5482,-3.0636
dent hill,5,54.5014,-3.4824
duddon hall,5,54.29461378,-3.236978659
ellenborough,5,54.7053397,-3.482278605
gate crag,5,54.38431575,-3.255075339
gowbarrow fell,5,54.58507196,-2.920770635
graythwaite hall,5,54.31510695,-2.960854922
great how,5,54.42940479,-3.24103573
great mell fell,5,54.6208997,-2.937068696
gummer's how,5,54.28838665,-2.929504526
hause gill,5,54.51074542,-3.197156415
hawkrigg,5,54.31699336,-2.684154959
hensingham,5,54.53346178,-3.568785984
hesket newmarket,5,54.73696613,-3.032946798
high tilberthwaite,5,54.40406807,-3.070785745
holker park,5,54.189,-2.9886
howtown,5,54.56897677,-2.859288344
hutton hall,5,54.66493,-2.74879
kentmere tarn,5,54.41869638,-2.841220933
kirkland,5,54.68574,-2.5514
kirkoswald,5,54.76635608,-2.691713965
longsleddale cp,5,54.43534241,-2.786378772
maiden moor,5,54.55597752,-3.167550996
melfell,5,54.6199,-2.9358
middle fell,5,54.80362981,-2.396737957
millom castle,5,54.221,-3.2726
monks hall,5,54.68571,-3.23935
murton,5,54.58782594,-2.425590245
naddle forest,5,54.52314191,-2.780308223
pardshaw,5,54.61055689,-3.398520636
pocklington's island,5,54.59136241,-3.145167855
poulton ward,5,54.07168491,-2.860761652
randon knot,5,54.553,-3.291
riggindale,5,54.49917992,-2.821256112
sandside,5,54.21747314,-2.789871819
shoulthwaite moss,5,54.5713,-3.075
silver hill,5,54.5877,-3.1574
